0001:,0002:,0600:,0601:,0602:,0611:,8002:,1231:,0607:,0605:,2968:,2969:,2970:,2971:,2972:,2973:,2974:,2975:,2976:,3070:,3071:,3072:,3073:,3074:,3075:,0604:,0613:,0620:,2979:,0615:,0674:,0618:,0619:,0614:,0616:,0623:
RFD100,0,1,1,214161,1,16041901,51,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,22700,0,2,1,240,,0,0,132,316,2000
RFD100,0,1,1,214161,1,16041901,52,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,23000,0,3,1,240,,0,0,118,282,3000
RFD100,0,1,1,214161,1,16041901,53,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,23800,0,1,1,240,,0,0,64,153,1000
RFD100,0,1,1,214161,1,16041901,54,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,23900,0,2,1,240,,0,0,73,174,2000
RFD100,0,1,1,214161,1,16041901,55,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,24100,0,3,1,240,,0,0,191,456,3000
RFD100,0,1,1,214161,1,16041901,56,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,24200,0,4,1,240,,0,0,353,846,4000
RFD100,0,1,1,214161,1,16041901,57,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,24700,0,2,1,240,,0,0,237,568,2000
RFD100,0,1,1,214161,1,16041901,58,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,24800,0,3,1,240,,0,0,258,618,3000
RFD100,0,1,1,214161,1,16041901,59,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,24900,0,3,1,240,,0,0,202,483,3000
RFD100,0,1,1,214161,1,16041901,60,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,25100,0,3,1,240,,0,0,179,428,3000
RFD100,0,1,1,214161,1,16041901,61,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,25600,0,3,1,240,,0,0,230,551,3000
RFD100,0,1,1,214161,1,16041901,62,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,25700,0,6,2,240,,0,0,381,912,6000
RFD100,0,1,1,214161,1,16041901,63,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,25900,0,7,3,240,,0,0,484,1158,7000
RFD100,0,1,1,214161,1,16041901,64,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,26900,0,2,1,240,,0,0,188,450,2000
RFD100,0,1,1,214161,1,16041901,65,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,27400,0,3,1,240,,0,0,306,733,3000
RFD100,0,1,1,214161,1,16041901,66,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,27700,0,4,1,240,,0,0,277,663,4000
RFD100,0,1,1,214161,1,16041901,67,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,28200,0,3,1,240,,0,0,195,466,3000
RFD100,0,1,1,214161,1,16041901,68,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,28500,0,2,1,240,,0,0,223,534,2000
RFD100,0,1,1,214161,1,16041901,69,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,29100,0,3,1,240,,0,0,156,373,3000
RFD100,0,1,1,214161,1,16041901,70,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,29500,0,2,1,240,,0,0,145,347,2000
RFD100,0,1,1,214161,1,16041901,71,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,29600,0,1,1,240,,0,0,25,60,1000
RFD100,0,1,1,214161,1,16041901,72,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,30100,0,1,1,240,,0,0,64,153,1000
RFD100,0,1,1,214161,1,16041901,73,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,30300,0,2,1,240,,0,0,82,196,2000
RFD100,0,1,1,214161,1,16041901,74,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,30400,0,1,1,240,,0,0,27,64,1000
RFD100,0,1,1,214161,1,16041901,75,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,30800,0,2,1,240,,0,0,90,215,2000
RFD100,0,1,1,214161,1,16041901,76,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,31300,0,3,1,240,,0,0,201,482,3000
RFD100,0,1,1,214161,1,16041901,77,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,31700,0,2,1,240,,0,0,271,649,2000
RFD100,0,1,1,214161,1,16041901,78,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,32500,0,1,1,240,,0,0,55,132,1000
RFD100,0,1,1,214161,1,16041901,79,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,32700,0,4,1,240,,0,0,339,812,4000
RFD100,0,1,1,214161,1,16041901,80,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,32900,0,2,1,240,,0,0,140,335,2000
RFD100,0,1,1,214161,1,16041901,81,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,33400,0,5,2,240,,0,0,494,1182,5000
RFD100,0,1,1,214161,1,16041901,82,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,33800,0,3,1,240,,0,0,158,378,3000
RFD100,0,1,1,214161,1,16041901,83,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,34000,0,2,1,240,,0,0,93,222,2000
RFD100,0,1,1,214161,1,16041901,84,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,34500,0,2,1,240,,0,0,84,201,2000
RFD100,0,1,1,214161,1,16041901,85,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,34600,0,1,1,240,,0,0,69,165,1000
RFD100,0,1,1,214161,1,16041901,86,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,34700,0,2,1,240,,0,0,89,213,2000
RFD100,0,1,1,214161,1,16041901,87,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,34900,0,1,1,240,,0,0,50,120,1000
RFD100,0,1,1,214161,1,16041901,88,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,35000,0,3,1,240,,0,0,169,404,3000
RFD100,0,1,1,214161,1,16041901,89,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,35200,0,1,1,240,,0,0,26,62,1000
RFD100,0,1,1,214161,1,16041901,90,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,35800,0,2,1,240,,0,0,85,203,2000
RFD100,0,1,1,214161,1,16041901,91,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,36200,0,3,1,240,,0,0,357,855,3000
RFD100,0,1,1,214161,1,16041901,92,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,36300,0,2,1,240,,0,0,89,213,2000
RFD100,0,1,1,214161,1,16041901,93,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,36600,0,3,1,240,,0,0,204,488,3000
RFD100,0,1,1,214161,1,16041901,94,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,36800,0,1,1,240,,0,0,28,67,1000
RFD100,0,1,1,214161,1,16041901,95,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,37100,0,3,1,240,,0,0,233,558,3000
RFD100,0,1,1,214161,1,16041901,96,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,37600,0,1,1,240,,0,0,82,196,1000
RFD100,0,1,1,214161,1,16041901,97,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,37700,0,2,1,240,,0,0,152,364,2000
RFD100,0,1,1,214161,1,16041901,98,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,38200,0,2,1,240,,0,0,217,520,2000
RFD100,0,1,1,214161,1,16041901,99,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,38300,0,2,1,240,,0,0,223,534,2000
RFD100,0,1,1,214161,1,16041901,100,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,38900,0,2,1,240,,0,0,113,271,2000
RFD100,0,1,1,214161,1,16041901,101,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,39200,0,2,1,240,,0,0,136,326,2000
RFD100,0,1,1,214161,1,16041901,102,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,39500,0,2,1,240,,0,0,156,374,2000
RFD100,0,1,1,214161,1,16041901,103,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,39700,0,1,1,240,,0,0,59,141,1000
RFD100,0,1,1,214161,1,16041901,104,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,40500,0,2,1,240,,0,0,180,431,2000
RFD100,0,1,1,214161,1,16041901,105,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,40900,0,2,1,240,,0,0,165,395,2000
RFD100,0,1,1,214161,1,16041901,106,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,41200,0,2,1,240,,0,0,184,440,2000
RFD100,0,1,1,214161,1,16041901,107,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,41300,0,3,1,240,,0,0,278,666,3000
RFD100,0,1,1,214161,1,16041901,108,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,41400,0,3,1,240,,0,0,199,477,3000
RFD100,0,1,1,214161,1,16041901,109,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,41500,0,2,1,240,,0,0,144,345,2000
RFD100,0,1,1,214161,1,16041901,110,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,41600,0,1,1,240,,0,0,29,69,1000
RFD100,0,1,1,214161,1,16041901,111,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,41800,0,1,1,240,,0,0,51,122,1000
RFD100,0,1,1,214161,1,16041901,112,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,41900,0,3,1,240,,0,0,161,385,3000
RFD100,0,1,1,214161,1,16041901,113,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,42000,0,4,1,240,,0,0,324,775,4000
RFD100,0,1,1,214161,1,16041901,114,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,42100,0,1,1,240,,0,0,65,156,1000
RFD100,0,1,1,214161,1,16041901,115,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,42200,0,2,1,240,,0,0,90,215,2000
RFD100,0,1,1,214161,1,16041901,116,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,42300,0,1,1,240,,0,0,63,151,1000
RFD100,0,1,1,214161,1,16041901,117,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,42600,0,3,1,240,,0,0,305,731,3000
RFD100,0,1,1,214161,1,16041901,118,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,42700,0,1,1,240,,0,0,57,136,1000
RFD100,0,1,1,214161,1,16041901,119,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,42900,0,1,1,240,,0,0,112,268,1000
RFD100,0,1,1,214161,1,16041901,120,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,43400,0,1,1,240,,0,0,58,139,1000
RFD100,0,1,1,214161,1,16041901,121,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,43700,0,2,1,240,,0,0,198,475,2000
RFD100,0,1,1,214161,1,16041901,122,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,210000,0,1,1,240,,0,0,55,132,1000
RFD100,0,1,1,214161,1,16041901,123,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,210100,0,1,1,240,,0,0,91,218,1000
RFD100,0,1,1,214161,1,16041901,124,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,210300,0,1,1,240,,0,0,62,148,1000
RFD100,0,1,1,214161,1,16041901,125,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,210400,0,2,1,240,,0,0,155,371,2000
RFD100,0,1,1,214161,1,16041901,126,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,211000,0,2,1,240,,0,0,104,248,2000
RFD100,0,1,1,214161,1,16041901,127,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,211100,0,1,1,240,,0,0,77,184,1000
RFD100,0,1,1,214161,1,16041901,128,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,211200,0,2,1,240,,0,0,231,553,2000
RFD100,0,1,1,214161,1,16041901,129,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,211300,0,2,1,240,,0,0,133,318,2000
RFD100,0,1,1,214161,1,16041901,130,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,211400,0,2,1,240,,0,0,214,513,2000
RFD100,0,1,1,214161,1,16041901,131,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,220000,0,1,1,240,,0,0,62,148,1000
RFD100,0,1,1,214161,1,16041901,132,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,220100,0,1,1,240,,0,0,78,187,1000
RFD100,0,1,1,214161,1,16041901,133,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,220400,0,2,1,240,,0,0,92,220,2000
RFD100,0,1,1,214161,1,16041901,134,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,220600,0,2,1,240,,0,0,82,196,2000
RFD100,0,1,1,214161,1,16041901,135,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,220700,0,1,1,240,,0,0,59,141,1000
RFD100,0,1,1,214161,1,16041901,136,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,220900,0,1,1,240,,0,0,77,184,1000
RFD100,0,1,1,214161,1,16041901,137,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,221300,0,1,1,240,,0,0,68,163,1000
RFD100,0,1,1,214161,1,16041901,138,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,221400,0,1,1,240,,0,0,212,508,1000
RFD100,0,1,1,214161,1,16041901,139,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,221700,0,2,1,240,,0,0,143,342,2000
RFD100,0,1,1,214161,1,16041901,140,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,221900,0,1,1,240,,0,0,26,62,1000
RFD100,0,1,1,214161,1,16041901,141,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,222100,0,2,1,240,,0,0,75,180,2000
RFD100,0,1,1,214161,1,16041901,142,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,222300,0,1,1,240,,0,0,28,67,1000
RFD100,0,1,1,214161,1,16041901,143,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,250100,0,1,1,240,,0,0,64,153,1000
RFD100,0,1,1,214161,1,16041901,144,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,250200,0,2,1,240,,0,0,132,316,2000
RFD100,0,1,1,214161,1,16041901,145,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,250300,0,4,1,240,,0,0,312,747,4000
RFD100,0,1,1,214161,1,16041901,146,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,250400,0,2,1,240,,0,0,124,296,2000
RFD100,0,1,1,214161,1,16041901,147,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,250500,0,2,1,240,,0,0,223,534,2000
RFD100,0,1,1,214161,1,16041901,148,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,251000,0,4,1,240,,0,0,367,878,4000
RFD100,0,1,1,214161,1,16041901,149,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,300200,0,5,2,240,,0,0,383,918,5000
RFD100,0,1,1,214161,1,16041901,150,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,300300,0,2,1,240,,0,0,228,546,2000
RFD100,0,1,1,214161,1,16041901,151,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,301100,0,2,1,240,,0,0,169,405,2000
RFD100,0,1,1,214161,1,16041901,152,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,301200,0,1,1,240,,0,0,59,141,1000
RFD100,0,1,1,214161,1,16041901,153,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,301400,0,2,1,240,,0,0,130,311,2000
RFD100,0,1,1,214161,1,16041901,154,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,301700,0,2,1,240,,0,0,89,213,2000
RFD100,0,1,1,214161,1,16041901,155,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,301900,0,4,1,240,,0,0,239,571,4000
RFD100,0,1,1,214161,1,16041901,156,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,302100,0,4,1,240,,0,0,268,641,4000
RFD100,0,1,1,214161,1,16041901,157,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,302200,0,2,1,240,,0,0,120,287,2000
RFD100,0,1,1,214161,1,16041901,158,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,302300,0,2,1,240,,0,0,54,129,2000
RFD100,0,1,1,214161,1,16041901,159,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,302600,0,2,1,240,,0,0,272,652,2000
RFD100,0,1,1,214161,1,16041901,160,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,303000,0,2,1,240,,0,0,133,319,2000
RFD100,0,1,1,214161,1,16041901,161,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,810000,0,2,1,240,,0,0,103,246,2000
RFD100,0,1,1,214161,1,16041901,162,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,810100,0,3,1,240,,0,0,183,438,3000
RFD100,0,1,1,214161,1,16041901,163,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,830100,0,1,1,240,,0,0,122,292,1000
RFD100,0,1,1,214161,1,16041901,164,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,830300,0,3,1,240,,0,0,270,647,3000
RFD100,0,1,1,214161,1,16041901,165,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,830600,0,1,1,240,,0,0,67,160,1000
